nome_fundo;CNPJ;PL_20210114;share
CLARITAS LONG SHORT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;05.109.839/0001-86;362.44;0.21
GARDE DARTAGNAN ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.179.685/0001-79;364.17;0.21
KAPITALO ZETA RED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.879.995/0001-69;357.31;0.21
VERDE AM VII FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;22.187.998/0001-18;367.73;0.21
VINLAND MACRO ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;28.581.109/0001-89;361.19;0.21
DAHLIA GLOBAL ALLOCATION FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;35.432.385/0001-40;342.41;0.2
GENOA CAPITAL RADAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;35.828.684/0001-07;340.01;0.2
OPPORTUNITY LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.471.807/0001-78;342.7;0.2
VERSA LONG BIASED FUNDO DE INVESTIMENTO MULTIMERCADO;18.832.847/0001-06;374.96;0.2
IBIUNA LONG SHORT ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.732.926/0001-53;325.94;0.19
ITAÚ PRIVATE LONG AND SHORT PLUS MULTIMERCADO FDO DE INVESTIMENTO EM COTAS DE FDOS DE INVESTIMENTO;17.329.579/0001-33;327.38;0.19
KAPITALO ZEVA FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;13.081.827/0001-19;323.35;0.19
MAR ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.397.723/0001-62;332.43;0.19
WESTERN ASSET MULTITRADING PREMIUM FICFI MULTIMERCADO;23.611.241/0001-72;335.9;0.19
ADAM MACRO STRATEGY II D60 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.286.406/0001-64;309.38;0.18
CLARITAS LONG SHORT ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27.944.406/0001-89;312.72;0.18
IBIUNA HEDGE STR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;15.603.942/0001-31;311.83;0.18
NEO MULTI ESTRATÉGIA 30 FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;08.771.538/0001-01;310.14;0.18
SAFARI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO II;23.960.625/0001-09;293.06;0.18
FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA ESTRATÉGICO MULTIMERCADO LONGO PRAZO;03.737.200/0001-10;300.63;0.17
OCCAM RETORNO ABSOLUTO BTGP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;35.618.031/0001-95;295.26;0.17
PERSEVERA COMPASS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.326.427/0001-08;305.57;0.17
RPS EQUITY HEDGE D30 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;25.530.044/0001-54;282.45;0.17
TRUXT I LONG SHORT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.262.377/0001-02;302.68;0.17
ABSOLUTE ALPHA MARB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;35.618.055/0001-44;278.93;0.16
BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO MACRO INSTITUCIONAL;21.287.421/0001-15;281.87;0.16
CANVAS ENDURO 30 CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;15.212.344/0001-31;287.68;0.16
FOF MULTI GLOBAL EQUITIES MULTIMERCADO INVESTIMENTO NO EXTERIOR FDO DE INV EM COTAS DE FDOS DE INVES;17.412.472/0001-54;280.36;0.16
OCEANA LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19.496.576/0001-10;268.86;0.16
PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;00.400.490/0001-13;271.33;0.16
RPS TOTAL RETURN D90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;35.088.121/0001-11;261.97;0.16
KAPITALO KZTP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.248.306/0001-95;249.21;0.15
KAPITALO ZETA ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30.521.581/0001-78;249.29;0.15
TI KAPITALO ZETA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18.298.411/0001-70;263.37;0.15
TRUXT LONG SHORT ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.262.363/0001-99;266.96;0.15
TRUXT MACRO ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.261.488/0001-02;264.11;0.15
BTG PACTUAL TOF FUNDO DE INVESTIMENTO MULTIMERCADO;23.657.960/0001-24;263.52;0.14
CANVAS VECTOR CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;28.345.351/0001-53;248.34;0.14
HIX PREV 100 MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;32.760.223/0001-43;235.54;0.14
IBIUNA LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;17.554.200/0001-99;233.67;0.14
LOGOS TOTAL RETURN FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;11.182.072/0001-13;233.27;0.14
XP ADVISORY PORTFOLIO PRIVATE II FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;34.231.958/0001-05;243.39;0.14
ALPHA KEY LONG BIASED CSHG FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;31.525.084/0001-00;223.81;0.13
DAHLIA TOTAL RETURN ESTRATÉGIA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;35.504.342/0001-23;229.9;0.13
JGP WM OPT FI EM COTAS DE FI MULTIMERCADO INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;20.485.412/0001-76;227.01;0.13
KAPITALO CGI ZETA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31.247.845/0001-00;227.56;0.13
QUANTITAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO MALLORCA;22.918.359/0001-85;228.8;0.13
QUANTITAS FUNDO DE INVESTIMENTO MULTIMERCADO ARBITRAGEM LONGO PRAZO;20.077.711/0001-71;219.14;0.13
SAFARI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;10.158.171/0001-05;216.67;0.13
